namespace,image,cve
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-5648
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-5651
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-8014
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-1745
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-1938
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-12617
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-12615
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-5650
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-5664
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-7675
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-1336
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-8034
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2019-0199
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2019-0232
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2019-10072
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2019-0199
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2019-12418
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2019-17563
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-11996
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-13934
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-13935
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-17527
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-9484
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2021-25122
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2021-25329
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-9484
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2021-30639
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2021-41079
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2022-25762
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2022-42252
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-11784
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-1304
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-1305
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-8037
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2019-0221
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-13943
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-1935
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2021-24122
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2021-30640
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2021-33037
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2023-28708
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2021-43980
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-13935
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2021-24122
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2021-43980
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-15522
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-7536
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-10693
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-8046
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2022-27772
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-1196
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2023-20883
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2022-22965
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-1273
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2022-22980
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-8046
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2023-34036
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2022-22965
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-1270
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-1275
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-1270
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2022-22965
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-11040
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-1272
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-15756
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-1199
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-1257
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-1271
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-5421
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2022-22968
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2022-22970
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2022-22971
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2023-20861
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2023-20863
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2022-22950
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2016-1000027
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-11040
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-15756
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-11039
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-5421
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-1272
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-15756
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2018-1271
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2020-5421
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2022-1471
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2017-18640
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2022-25857
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2022-38749
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2022-38750
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2022-38751
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2022-38752
sock-shop,carts-5bb979cb6d-nsmzv_carts,CVE-2022-41854
sock-shop,carts-db-6d88679f9d-ttp6d_carts-db,CVE-2022-3715
sock-shop,carts-db-6d88679f9d-ttp6d_carts-db,CVE-2016-2781
sock-shop,carts-db-6d88679f9d-ttp6d_carts-db,CVE-2022-3219
sock-shop,carts-db-6d88679f9d-ttp6d_carts-db,CVE-2016-20013
sock-shop,carts-db-6d88679f9d-ttp6d_carts-db,CVE-2023-28321
sock-shop,carts-db-6d88679f9d-ttp6d_carts-db,CVE-2023-28322
sock-shop,carts-db-6d88679f9d-ttp6d_carts-db,CVE-2023-2953
sock-shop,carts-db-6d88679f9d-ttp6d_carts-db,CVE-2017-11164
sock-shop,carts-db-6d88679f9d-ttp6d_carts-db,CVE-2022-46908
sock-shop,carts-db-6d88679f9d-ttp6d_carts-db,CVE-2023-2975
sock-shop,carts-db-6d88679f9d-ttp6d_carts-db,CVE-2023-31437
sock-shop,carts-db-6d88679f9d-ttp6d_carts-db,CVE-2023-31438
sock-shop,carts-db-6d88679f9d-ttp6d_carts-db,CVE-2023-31439
sock-shop,carts-db-6d88679f9d-ttp6d_carts-db,CVE-2023-31437
sock-shop,carts-db-6d88679f9d-ttp6d_carts-db,CVE-2023-31438
sock-shop,carts-db-6d88679f9d-ttp6d_carts-db,CVE-2023-31439
sock-shop,carts-db-6d88679f9d-ttp6d_carts-db,CVE-2022-4899
sock-shop,carts-db-6d88679f9d-ttp6d_carts-db,CVE-2023-29383
sock-shop,carts-db-6d88679f9d-ttp6d_carts-db,CVE-2023-2975
sock-shop,carts-db-6d88679f9d-ttp6d_carts-db,CVE-2023-29383
sock-shop,carts-db-6d88679f9d-ttp6d_carts-db,CVE-2023-27561
sock-shop,carts-db-6d88679f9d-ttp6d_carts-db,CVE-2019-19921
sock-shop,carts-db-6d88679f9d-ttp6d_carts-db,CVE-2022-29162
sock-shop,carts-db-6d88679f9d-ttp6d_carts-db,CVE-2023-28642
sock-shop,carts-db-6d88679f9d-ttp6d_carts-db,CVE-2023-25809
sock-shop,catalogue-7c89c4b8b7-zzn6d_catalogue,CVE-2018-0732
sock-shop,catalogue-7c89c4b8b7-zzn6d_catalogue,CVE-2017-3735
sock-shop,catalogue-7c89c4b8b7-zzn6d_catalogue,CVE-2017-3736
sock-shop,catalogue-7c89c4b8b7-zzn6d_catalogue,CVE-2017-3737
sock-shop,catalogue-7c89c4b8b7-zzn6d_catalogue,CVE-2017-3738
sock-shop,catalogue-7c89c4b8b7-zzn6d_catalogue,CVE-2018-0733
sock-shop,catalogue-7c89c4b8b7-zzn6d_catalogue,CVE-2018-0734
sock-shop,catalogue-7c89c4b8b7-zzn6d_catalogue,CVE-2018-0737
sock-shop,catalogue-7c89c4b8b7-zzn6d_catalogue,CVE-2018-0739
sock-shop,catalogue-7c89c4b8b7-zzn6d_catalogue,CVE-2018-5407
sock-shop,catalogue-7c89c4b8b7-zzn6d_catalogue,CVE-2018-0732
sock-shop,catalogue-7c89c4b8b7-zzn6d_catalogue,CVE-2017-3735
sock-shop,catalogue-7c89c4b8b7-zzn6d_catalogue,CVE-2017-3736
sock-shop,catalogue-7c89c4b8b7-zzn6d_catalogue,CVE-2017-3737
sock-shop,catalogue-7c89c4b8b7-zzn6d_catalogue,CVE-2017-3738
sock-shop,catalogue-7c89c4b8b7-zzn6d_catalogue,CVE-2018-0733
sock-shop,catalogue-7c89c4b8b7-zzn6d_catalogue,CVE-2018-0734
sock-shop,catalogue-7c89c4b8b7-zzn6d_catalogue,CVE-2018-0737
sock-shop,catalogue-7c89c4b8b7-zzn6d_catalogue,CVE-2018-0739
sock-shop,catalogue-7c89c4b8b7-zzn6d_catalogue,CVE-2018-5407
sock-shop,catalogue-7c89c4b8b7-zzn6d_catalogue,CVE-2017-15650
sock-shop,catalogue-7c89c4b8b7-zzn6d_catalogue,CVE-2016-9841
sock-shop,catalogue-7c89c4b8b7-zzn6d_catalogue,CVE-2016-9843
sock-shop,catalogue-7c89c4b8b7-zzn6d_catalogue,CVE-2016-9840
sock-shop,catalogue-7c89c4b8b7-zzn6d_catalogue,CVE-2016-9842
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2019-3462
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2020-3810
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2016-7543
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2019-9924
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2016-9401
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2016-0634
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2016-2779
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2016-5011
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2016-2781
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2020-8991
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2019-5094
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2019-5188
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2019-5094
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2019-5188
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2018-12886
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2017-11671
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2018-12886
sock-shop,catalogue-db-6d76c95d76-6qj9s_catalogue-db,CVE-2015-5276
